Режим DEBUG: 2021-06-02 21:46:18,582  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:46:18,585  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:46:19,025  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:46:19,029  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:46:19,051  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:46:19,083  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:46:19,086  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:46:19,090  dev  ERROR: User testuser not found
Режим DEBUG: 2021-06-02 21:46:19,091  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:50:38,864  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:50:38,885  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:50:38,932  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:50:39,039  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:50:39,068  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:50:39,070  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:50:39,074  dev  ERROR: User testuser not found
Режим DEBUG: 2021-06-02 21:50:39,075  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:50:39,183  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:50:39,185  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:50:39,188  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:50:39,635  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:50:39,641  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:52:29,058  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:52:29,078  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:52:29,119  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:52:29,215  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:52:29,246  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:52:29,247  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:52:29,251  dev  ERROR: User admin not found
Режим DEBUG: 2021-06-02 21:52:29,254  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:52:29,357  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:52:29,359  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:52:29,362  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:52:29,815  dev  INFO: Signed up user vlados
